{'it': 144, 'wall': 885.9, 'records': 778, 'policy_loss': 2.1365, 'value_loss': 0.0025, 'ep_len': 23.6, 'fresh_rows': 17773, 'hit_rows': 13178}
{'it': 145, 'wall': 889.7, 'records': 768, 'policy_loss': 2.02, 'value_loss': 0.0028, 'ep_len': 22.6, 'fresh_rows': 13703, 'hit_rows': 13411}
{'it': 146, 'wall': 893.8, 'records': 769, 'policy_loss': 2.2198, 'value_loss': 0.0182, 'ep_len': 21.4, 'fresh_rows': 15417, 'hit_rows': 12904}
{'it': 147, 'wall': 898.7, 'records': 776, 'policy_loss': 2.2545, 'value_loss': 0.0064, 'ep_len': 23.5, 'fresh_rows': 16423, 'hit_rows': 12094}
{'it': 148, 'wall': 903.5, 'records': 809, 'policy_loss': 2.069, 'value_loss': 0.0044, 'ep_len': 21.9, 'fresh_rows': 16056, 'hit_rows': 13321}
{'it': 149, 'wall': 907.8, 'records': 768, 'policy_loss': 1.9565, 'value_loss': 0.0232, 'ep_len': 21.3, 'fresh_rows': 14305, 'hit_rows': 13436}
{'it': 150, 'wall': 912.7, 'records': 771, 'policy_loss': 2.2917, 'value_loss': 0.0043, 'ep_len': 24.9, 'fresh_rows': 16786, 'hit_rows': 13016}
{'it': 151, 'wall': 917.5, 'records': 771, 'policy_loss': 2.2201, 'value_loss': 0.0036, 'ep_len': 23.4, 'fresh_rows': 16411, 'hit_rows': 13393}
{'it': 152, 'wall': 922.3, 'records': 789, 'policy_loss': 2.1753, 'value_loss': 0.0066, 'ep_len': 21.9, 'fresh_rows': 16078, 'hit_rows': 14277}
{'it': 153, 'wall': 927.1, 'records': 774, 'policy_loss': 2.3517, 'value_loss': 0.004, 'ep_len': 22.8, 'fresh_rows': 16361, 'hit_rows': 12866}
{'it': 154, 'wall': 932.5, 'records': 768, 'policy_loss': 2.4034, 'value_loss': 0.0037, 'ep_len': 25.6, 'fresh_rows': 18141, 'hit_rows': 13970}
{'it': 155, 'wall': 937.2, 'records': 773, 'policy_loss': 2.3231, 'value_loss': 0.004, 'ep_len': 24.9, 'fresh_rows': 17453, 'hit_rows': 14219}
{'it': 156, 'wall': 942.5, 'records': 770, 'policy_loss': 2.5219, 'value_loss': 0.0053, 'ep_len': 26.6, 'fresh_rows': 19357, 'hit_rows': 14205}
{'it': 157, 'wall': 947.8, 'records': 778, 'policy_loss': 2.3857, 'value_loss': 0.005, 'ep_len': 24.3, 'fresh_rows': 19018, 'hit_rows': 16353}
